,Stock Name,Number of Feartures Selected,Train R^2,Train Correlation,Train MAE,Train Directional Accuracy,Test R^2,Test Correlation,Test MAE,Test Directional Accuracy,EBITDA,Management - Capital Discipline  Avg ( delta Earn For Common/delta Capital Employed),People Filter Avg (Sales/Employee),Strategy Filter EBITDA CAGR, Margin CAGR,Financial Filter ( Last 3 Year Data ) ROE Avg,EU EUCCEMU Index Last Price,US EXP1CYOY Index Last Price,Germany GRTBEXE Index Last Price,US CPI YOY Index Last Price,EU ECCPEMUY Index Last Price,Japan JNCPIYOY Index Last Price,Japanese Yen USDJPY Curncy Last Price,Taiwanese Dollar USDTWD Curncy Last Price,S&P 500 SPX Index Last Price,Taiwan TWSE Index Last Price,US Federal debt  FDTGATPD Index Last Price,S&P500 SPX Index Price Earnings Ratio (P/E),Topix Japan TPX Index Price Earnings Ratio (P/E),MSCI China MXCN Index Price Earnings Ratio (P/E),MSCI Asia Pacific MXAP Index Price Earnings Ratio (P/E),Indonesia Motor vehicle sales IDVHCLOC Index Last Price, EHUPUS Index PX_LAST,GDP QoQ % GDP CQOQ Index PX_LAST, EHUPUS Index PX_LAST.1, MXAPJ Index PE_RATIO, MXAPJ Index PX_TO_BOOK_RATIO, MXAPJ Index PX_TO_SALES_RATIO, SHASHR Index PX_TO_BOOK_RATIO, JAPAN (10 YEAR ISSUE) GTJPY10Y Govt,1D US EXP1CYOY Index Last Price,1D Chinese Renminbi USDCNY Curncy Last Price,1D Indonesian Rupiah USDIDR Curncy Last Price,1D WTI Crude CL1 Comdty Last Price,1D Crude Palm oil KO3 Comdty Last Price,1D Gold XAU Curncy Last Price,1D Crude Palm Oil KO3 Comdty Last Price,1D Dow Jones US real estate index DJUSRE Index Last Price,1D Topix Japan TPX Index Last Price,1D Germany EHUPDE Index Last Price,1D France EHUPFR Index Last Price,1D Italy EHUPIT Index Last Price,1D UK EHUPGB Index Last Price,1D Japan EHUPJP Index Last Price,1D US 10yr Govt Bond Yield USGG10YR Index Last Price,1D Germany Govt 10yr bond yield GDBR10 Index Last Price,1D Libor US0003M Index Last Price,1D S&P 500 SPX Index BEst EPS,1D  MXAPJ Index PX_LAST,1D  MXAPJ Index PE_RATIO,1D  MXAPJ Index PX_TO_BOOK_RATIO,1D  SHASHR Index PX_TO_SALES_RATIO,1D  SPX Index PE_RATIO,1D  SPX Index IDX_EST_EARNINGS_NXT_YR,1D  TR/CC CRB ER Index CRY Index,2D US CONSSENT Index Last Price,2D China CHCSCONF Index Last Price,2D US EXP1CYOY Index Last Price,2D Germany GRTBEXE Index Last Price,2D Chinese Renminbi USDCNY Curncy Last Price,2D Crude Palm oil KO3 Comdty Last Price,2D LME Copper LMCADY Comdty Last Price,2D Crude Palm Oil KO3 Comdty Last Price,2D Euro Stoxx SX5E Index Last Price,2D Hong Kong China enterprises index HSCEI Index Last Price,2D Germany EHUPDE Index Last Price,2D France EHUPFR Index Last Price,2D Germany Govt 10yr bond yield GDBR10 Index Last Price,2D S&P 500 SPX Index BEst EPS,2D S&P 500 SPX Index Index Est Earnings Next Year,2D MSCI China MXCN Index Price Earnings Ratio (P/E),2D MSCI Asia Pacific MXAP Index Price Earnings Ratio (P/E),2D  VIX Index PX_LAST,2D  EHUPUS Index PX_LAST,2D  EHUPUS Index PX_LAST.1,2D  MXAPJ Index RETURN_COM_EQY,2D  German Government Bonds 10 Yr GDBR10 Index
10,CMCSA UW Equity,10,0.6425637338849404,0.8016007322133257,0.08660636230288621,83.5820895522388,0.3505487771899476,0.6966080086011807,0.10558732172372905,79.3103448275862,0.0,0.0,0.0,0.20132052268507594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28056798983051534,0.0,0.36211289096624116,0.0,0.0,0.0,0.0,0.0,-0.10832943644300536,0.0,-0.10832943644300516,0.0,0.16273553401298366,-0.12937792394230882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0959196856711838,0.0,-0.057852411972875134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045550013375424594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,COP UN Equity,5,0.3911173609994323,0.6253937647589972,0.11991948865696571,71.25,0.10813224073363903,0.5490388759686501,0.10641811775702643,62.857142857142854,0.0,-0.5969484748168303,-0.4827407220549536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06420099234174743,0.1118717669873967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05102613192761375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,COST UW Equity,16,0.7578619220182239,0.8705526532141663,0.08391959074874321,87.75510204081633,0.4035474761957041,0.6986004590345397,0.10426264147424537,80.95238095238095,0.0,8.347835587484996,0.0,0.13867625094263866,-0.08844560468093554,0.0,0.0,0.0,-0.1254910356931315,0.0,0.0,-0.09955861010791152,0.0,0.11197148502762654,0.09661569611502113,0.0,0.0,-0.23451015910265796,0.0,0.03374820572410775,0.0337482057240589,0.0,0.0,0.0,0.0,0.09422693389870268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04480907671426475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03433304613240437,0.03915319945829412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04048766074535072,0.0,0.0,0.0,0.0
13,CSCO UW Equity,18,0.9004967413021181,0.9489450675893302,0.08222529486917458,92.85714285714286,0.7839895102947967,0.8883562810234882,0.14030731732085241,83.33333333333334,0.0,-5.038068875605528,0.0,-0.26747816828822685,0.042791224987350475,0.5608112352826562,0.0,0.2080427779992946,0.0,0.0,-0.205274970769917,0.0,0.06395760607818735,0.0,-0.4901945177432249,0.0,0.0,0.0,0.0,-0.022677178451403927,-0.02267717845138505,-0.1824657994502881,-0.12107739252244304,0.06361091971945826,-0.1210773925224434,0.11482283160817787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06402696009548194,0.0,-0.07155734734326989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056313865973084735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,CVS UN Equity,12,0.5900335140482849,0.76813639026431,0.11152274564659356,78.26086956521739,0.37626399345329364,0.6866294686256886,0.10574296310710667,85.0,-1.5281890999996075,5.5411571973208575,-0.5274733096275642,0.0,0.0,0.0,-0.1459351641620402,0.0,0.0,0.0,-0.020769470290806665,0.0,0.0,0.0,0.0,0.0,0.8823821969251215,0.0,0.08981557672857324,0.0,0.0,0.0,-0.19931494228208263,0.0,-0.19931494228208174,0.0,-0.1742123959818874,0.14610944488031877,0.14719624996593358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,CVX UN Equity,8,0.6283474339331467,0.7926836909720962,0.06146323941121929,79.56989247311827,0.3586720215768343,0.6581420404279519,0.07641267178781605,75.0,0.0,0.0,0.0,-0.05714127514713087,0.0,-0.4036836981091925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06072364195212902,0.0,-0.12234780931185588,0.0,0.0,0.0,-0.13109618014784574,0.0,0.0,0.0,-0.03477232068768201,0.08276179963998757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02710754103282556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,D UN Equity,8,0.5066936845036715,0.7118241949411885,0.07502634687932512,74.07407407407408,0.3190840079623857,0.6130040665360325,0.08352412003274744,80.55555555555556,0.0,0.0,0.0,0.0,0.0,-1.4613564994388069,0.0,0.0,0.0,0.0,0.0,0.0,-0.12630561391772083,0.0,0.0,0.07800246124010415,0.0,0.0,0.0,0.0,0.0,0.0,0.06620713462896965,0.0,0.06620713462896788,-0.04581357111854333,-0.03362601509901806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,DHR UN Equity,15,0.7065556200191636,0.8405686289763394,0.0802303056869281,87.0,0.40602819999533346,0.671066553742058,0.09854340233459494,81.81818181818183,0.0,-1.7606289618601483,0.0,-0.17645093483588592,0.0,1.3453369042132803,-0.14056285116727424,0.0,0.0,0.0,-0.0955475753419441,-0.14338910054743362,-0.09853979498817077,0.0,0.0,0.06816422132434118,-0.4547372382330667,-0.17603350263175674,0.0,0.0,0.0,0.0,0.0,0.09130494533092055,0.0,-0.08330426072329294,0.0,-0.13267553538597474,0.049501635246622176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08060460352184347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,DIS UN Equity,14,0.635114480608372,0.7969407008105253,0.10174933624073541,83.33333333333334,0.5767637934818273,0.770436747626813,0.10179991113019665,80.95238095238095,0.0,0.0,7.334782153401325,0.0,0.0,0.0,0.0,-0.13725157301405722,0.0,0.0,0.0,0.0,-0.18630126534592265,0.09884988501510264,0.0,0.0,-0.19534275150052677,-0.22008582256839027,0.0,-0.022411792615569304,-0.022411792615606385,0.0,0.0,0.0,0.0,0.06940642877954707,0.297448320494061,-0.23316691183641028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03536205536446872,0.0,0.0,0.0,0.0,0.0,0.0,0.03889881115471294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,DUK UN Equity,8,0.6718031742118324,0.8196360010467041,0.09404096100471432,82.22222222222221,0.3499250507270345,0.6712857414132415,0.09207711703899961,76.92307692307693,0.0,0.923688809855404,4.602411567759196,0.0,0.0,-0.4331494915009595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15514903696125498,0.0,0.0,0.07625038149157971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16046418909667545,0.0,0.06573086882899669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
