,Stock Name,Number of Feartures Selected,Train R^2,Train Correlation,Train MAE,Train Directional Accuracy,Test R^2,Test Correlation,Test MAE,Test Directional Accuracy,EBITDA,2 EARN_FOR_COMMON,Management - Balancesheet Net Debt To Equity - Average,Management - Capital Discipline  Avg ( delta Earn For Common/delta Capital Employed),Strategy Filter EBITDA CAGR, Debt To Equity Avg,Nasdaq Composite CCMP Index Last Price,Topix Japan TPX Index Last Price,Japan OEJPDGBO Index Last Price,China CNMSM2 Index Last Price,1D Japanese Yen USDJPY Curncy Last Price,1D Swiss Franc USDCHF Curncy Last Price,1D Indian Rupee USDINR Curncy Last Price,1D Crude Palm Oil KO3 Comdty Last Price,1D Hibor HIHD03M Index Last Price,1D ECB ECMSM2 Index Last Price,1D S&P 500 SPX Index BEst EPS,1D S&P500 SPX Index BEst P/E Ratio,1D  SHASHR Index PE_RATIO,1D  SHASHR Index PX_TO_SALES_RATIO,1D  SPX Index PX_TO_SALES_RATIO,2D EU EUCCEMU Index Last Price,2D China CNCPIYOY Index Last Price,2D Swiss Franc USDCHF Curncy Last Price,2D Hong Kong China enterprises index HSCEI Index Last Price,2D Korea KOSPI Index Last Price,2D Germany Govt 10yr bond yield GDBR10 Index Last Price,2D US M2 Index Last Price,2D S&P 500 SPX Index Index Est Earnings Next Year,2D S&P500 SPX Index BEst P/E Ratio,2D  SHASHR Index PE_RATIO,2D  SHASHR Index PX_TO_BOOK_RATIO,2D  SPX Index PX_LAST,2D  SPX Index IDX_EST_EARNINGS_NXT_YR
0,AAPL UW Equity,4,0.4522780625079593,0.6725162172824979,0.07420671432865912,74.07407407407408,-0.021930514322697547,0.3337924272388746,0.10224977186571588,80.55555555555556,0.0,0.0,0.0,0.0024681257383136496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029460291490770504,0.0796578546657711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054488221626715905,0.0,0.0
1,ABT UN Equity,6,0.14735165474532452,0.38386410973849133,0.04432505364692186,60.416666666666664,0.07033822245377375,0.41839463655982684,0.04866601555054897,61.904761904761905,-0.03941470973849179,0.0,-0.620338820339982,0.0,0.0,0.0,0.016253892599190835,-0.024619950599891888,0.019301714946062153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020323125644847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,ACN UN Equity,9,0.5478653316102642,0.7401792564036529,0.03494010687385216,85.91549295774648,0.19748027012720304,0.47041757300110915,0.04422147407611954,58.06451612903226,0.06272935662362199,0.0,0.0,0.0,0.0,-0.8052357001617586,0.0,0.0,0.0,0.0,0.0,0.0,-0.010869775392695218,-0.01076833610155282,0.0,0.0,0.028744672763896573,0.05535791915642155,0.0,0.0,0.0,-0.009141068184016523,0.0,0.0,0.0,0.0,0.0,-0.013770571321076503,0.0,0.0,0.0,0.0,0.004598089196470156,0.0
3,ADBE UW Equity,8,0.38359895759822615,0.6193536611647872,0.08100115441718717,72.16494845360825,0.26668802631045563,0.5871591826986381,0.10497938176121366,80.95238095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02464917835822543,-0.029545403266146585,0.0,0.0,0.0,0.03814077473669364,0.05441005571263732,0.0,0.023547554065594455,0.0,0.0,0.0,-0.022814295525737147,0.0,0.03405820837401501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AMGN UW Equity,5,0.2423496380615242,0.4922901969992133,0.07135327983475195,64.0,0.1282370114401592,0.3693086107297585,0.06304820138553031,63.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0240067418308328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03076399184865923,0.0,-0.03342135539276547,0.0,0.0,0.0,0.0,0.0,-0.029172493810935722,0.0,0.0,0.0,0.0,0.0,0.02806642518515227,0.0,0.0
5,BA UN Equity,5,0.4030793565207087,0.6348853097376793,0.0536958019993299,74.69879518072288,0.024294835366641676,0.38395421502867194,0.06824311186726217,63.888888888888886,0.0,0.0,0.0,0.0,0.0,0.11030945940438398,0.010609726995206658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03137436005980883,0.07720667924281208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04336450649325104,0.0,0.0,0.0,0.0
6,BDX UN Equity,4,0.1114260964507181,0.3338054769633326,0.05260945439630471,52.0,0.0872862726524164,0.3737104504902055,0.04558121393490015,56.81818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015104997932871622,0.0,0.0,0.0,0.0,0.0,-0.028848102131149234,0.02620435700834663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022194729619650008
7,BMY UN Equity,2,0.16718186082794317,0.40887878500595176,0.0488469212919403,58.24175824175825,0.2552405412096703,0.565899903794984,0.05697461219250183,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022031485932250457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013617970887943769,0.0,0.0,0.0
8,CAT UN Equity,2,0.31525327929352753,0.5614742018058606,0.04899577277817328,74.48979591836735,-0.008726518343167289,0.25295859364072637,0.07269650845655909,71.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019502125832105383,0.04752544280333099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CI UN Equity,15,0.5560015955245626,0.7456551451740699,0.06043940313937768,71.91011235955057,0.08958736369214082,0.5785007409931392,0.07023455051313315,66.66666666666666,0.0,0.0,-0.17767768240847082,0.0,0.0,0.0,0.0512098724189503,-0.05886025238287986,0.028668917038914676,0.0,0.028746834974523204,-0.018636073595722107,-0.03548852644061698,0.0,0.0,-0.022690628968948447,0.02023519827834845,0.04085695126563497,0.0,0.009958023531371298,0.0,0.0,0.0,0.0,-0.03428519991614535,0.013821616904734928,0.03234327324093772,0.0,0.0,0.0,0.0,0.0,0.03256861436586109,0.0
